,datetime,logchange
185,24/09/1954,0.00295897
186,27/09/1954,0.001739053
187,28/09/1954,0.002130857
188,29/09/1954,-0.00253156
189,30/09/1954,-0.002546403
190,01/10/1954,-0.000268913
191,04/10/1954,0.002414244
192,05/10/1954,0.002134785
193,06/10/1954,0.001726819
194,07/10/1954,-0.000928973
195,08/10/1954,-0.000265786
196,11/10/1954,-0.003470103
197,12/10/1954,-0.001745505
198,13/10/1954,-0.000134561
199,14/10/1954,-0.005280653
200,15/10/1954,-0.002322071
201,18/10/1954,0.001640397
202,19/10/1954,0.001090166
203,20/10/1954,0.003524257
204,21/10/1954,-0.000540335
205,22/10/1954,0
206,25/10/1954,-0.002303955
207,26/10/1954,-0.000271859
208,27/10/1954,0.001086416
209,28/10/1954,-0.001903015
210,29/10/1954,-0.00273314
211,01/11/1954,0.001505355
212,03/11/1954,0.008790318
213,04/11/1954,0.005057731
214,05/11/1954,-0.001458033
215,08/11/1954,0.004096525
216,09/11/1954,0.001706464
217,10/11/1954,0.000392849
218,11/11/1954,0.003779331
219,12/11/1954,0.000907346
220,15/11/1954,-0.000907346
221,16/11/1954,0.001295629
222,17/11/1954,0.000775526
223,18/11/1954,-0.002460599
224,19/11/1954,0.000129853
225,22/11/1954,0.00168457
226,23/11/1954,0.005781257
227,24/11/1954,0.002418056
228,26/11/1954,0.004168047
229,29/11/1954,-0.000125718
230,30/11/1954,-0.003788577
231,01/12/1954,-0.003182591
232,02/12/1954,0.002420894
233,03/12/1954,0.003921136
234,06/12/1954,0.003386573
235,07/12/1954,0.001994467
236,08/12/1954,-0.000746852
237,09/12/1954,-0.002123083
238,10/12/1954,-0.001630566
239,13/12/1954,0.000376828
240,14/12/1954,-0.003023821
241,15/12/1954,0.002646992
242,16/12/1954,0.004624852
243,17/12/1954,0.012137742
244,20/12/1954,-0.007192691
245,21/12/1954,0.000614191
246,22/12/1954,-0.000491283
247,23/12/1954,0.000368515
248,27/12/1954,-0.003699294
249,28/12/1954,0.004435386
250,29/12/1954,0.003783396
251,30/12/1954,0
252,31/12/1954,0.002906611
253,03/01/1955,0.009196184
254,04/01/1955,-0.003917402
255,05/01/1955,-0.010866984
256,06/01/1955,-0.00590886
257,07/01/1955,0.00357954
258,10/01/1955,0.005618061
259,11/01/1955,-0.001336853
260,12/01/1955,-0.001218902
261,13/01/1955,-0.001834791
262,14/01/1955,-0.001842576
263,17/01/1955,-0.008703588
264,18/01/1955,0.002754255
265,19/01/1955,0.00199218
266,20/01/1955,0.002106726
267,21/01/1955,0.003815563
268,24/01/1955,0.000979244
269,25/01/1955,-0.000122285
270,26/01/1955,0.005348222
271,27/01/1955,0.000482952
272,28/01/1955,0.002406736
273,31/01/1955,0.005248336
274,01/02/1955,0.001065754
275,02/02/1955,-0.001302944
276,03/02/1955,-0.002021361
277,04/02/1955,0.006153594
278,07/02/1955,0
279,08/02/1955,-0.005915298
280,09/02/1955,0.003440679
281,10/02/1955,0.003882382
282,11/02/1955,0.000819093
283,14/02/1955,-0.003050163
284,15/02/1955,0
285,16/02/1955,-0.001415025
286,17/02/1955,0.000825992
287,18/02/1955,0.000589034
288,21/02/1955,-0.000471163
289,23/02/1955,-0.000353708
290,24/02/1955,-0.002365444
291,25/02/1955,-0.00059338
292,28/02/1955,0.002250542
293,01/03/1955,0.000826216
294,02/03/1955,0.003757099
295,03/03/1955,0.001633565
296,04/03/1955,0.002670446
297,07/03/1955,-0.002786926
298,08/03/1955,-0.008232203
299,09/03/1955,-0.004295255
300,10/03/1955,0.002749087
301,11/03/1955,-0.007571951
302,14/03/1955,-0.010554158
303,15/03/1955,0.009218426
304,16/03/1955,0.003271309
305,17/03/1955,0.001686583
306,18/03/1955,0.000720821
307,21/03/1955,-0.002769668
308,22/03/1955,0.002649614
309,23/03/1955,0.005606956
310,24/03/1955,0.003423843
311,25/03/1955,0.000352655
312,28/03/1955,-0.001530244
313,29/03/1955,0.000235773
314,30/03/1955,-0.003906723
315,31/03/1955,0.000712932
316,01/04/1955,0.004370742
317,04/04/1955,-0.001412724
318,05/04/1955,0.001765188
319,06/04/1955,0.002225654
320,07/04/1955,0.001981753
321,11/04/1955,0.001161526
322,12/04/1955,0.002544476
