datetime,Open,High,Low,close,Volume
04/01/1950,16.85,16.85,16.85,16.85,1050000
05/01/1950,16.93,16.93,16.93,16.93,1416667
06/01/1950,16.98,16.98,16.98,16.98,1116667
07/01/1950,17.09,17.09,17.09,17.09,1116667
09/01/1950,17.08,17.08,17.08,17.08,1400000
10/01/1950,17.03,17.03,17.03,17.03,1200000
11/01/1950,17.09,17.09,17.09,17.09,1461111
12/01/1950,16.76,16.76,16.76,16.76,1650000
13/01/1950,16.67,16.67,16.67,16.67,1850000
14/01/1950,16.65,16.65,16.65,16.65,1850000
16/01/1950,16.72,16.72,16.72,16.72,811111
17/01/1950,16.86,16.86,16.86,16.86,994444
18/01/1950,16.85,16.85,16.85,16.85,872222
19/01/1950,16.87,16.87,16.87,16.87,650000
20/01/1950,16.9,16.9,16.9,16.9,800000
21/01/1950,16.94,16.94,16.94,16.94,800000
23/01/1950,16.92,16.92,16.92,16.92,744444
24/01/1950,16.86,16.86,16.86,16.86,694444
25/01/1950,16.74,16.74,16.74,16.74,944444
26/01/1950,16.73,16.73,16.73,16.73,638889
27/01/1950,16.82,16.82,16.82,16.82,694444
28/01/1950,16.9,16.9,16.9,16.9,694444
30/01/1950,17.02,17.02,17.02,17.02,911111
31/01/1950,17.05,17.05,17.05,17.05,938889
01/02/1950,17.05,17.05,17.05,17.05,1005556
02/02/1950,17.23,17.23,17.23,17.23,1133333
03/02/1950,17.29,17.29,17.29,17.29,1227778
04/02/1950,17.35,17.35,17.35,17.35,1227778
06/02/1950,17.32,17.32,17.32,17.32,827778
07/02/1950,17.23,17.23,17.23,17.23,755556
08/02/1950,17.21,17.21,17.21,17.21,816667
09/02/1950,17.28,17.28,17.28,17.28,1005556
10/02/1950,17.24,17.24,17.24,17.24,994444
11/02/1950,17.21,17.21,17.21,17.21,994444
14/02/1950,17.06,17.06,17.06,17.06,1227778
15/02/1950,17.06,17.06,17.06,17.06,961111
16/02/1950,16.99,16.99,16.99,16.99,1066667
17/02/1950,17.15,17.15,17.15,17.15,1077778
18/02/1950,17.23,17.23,17.23,17.23,1077778
20/02/1950,17.2,17.2,17.2,17.2,788889
21/02/1950,17.17,17.17,17.17,17.17,700000
23/02/1950,17.21,17.21,17.21,17.21,727778
24/02/1950,17.28,17.28,17.28,17.28,950000
25/02/1950,17.26,17.26,17.26,17.26,950000
27/02/1950,17.28,17.28,17.28,17.28,783333
28/02/1950,17.22,17.22,17.22,17.22,727778
01/03/1950,17.24,17.24,17.24,17.24,783333
02/03/1950,17.23,17.23,17.23,17.23,744444
03/03/1950,17.29,17.29,17.29,17.29,844444
04/03/1950,17.33,17.33,17.33,17.33,844444
06/03/1950,17.32,17.32,17.32,17.32,816667
07/03/1950,17.2,17.2,17.2,17.2,883333
08/03/1950,17.19,17.19,17.19,17.19,755556
09/03/1950,17.07,17.07,17.07,17.07,738889
10/03/1950,17.09,17.09,17.09,17.09,700000
11/03/1950,17.14,17.14,17.14,17.14,700000
13/03/1950,17.12,17.12,17.12,17.12,588889
14/03/1950,17.25,17.25,17.25,17.25,633333
15/03/1950,17.45,17.45,17.45,17.45,1016667
16/03/1950,17.49,17.49,17.49,17.49,1144444
17/03/1950,17.45,17.45,17.45,17.45,888889
18/03/1950,17.49,17.49,17.49,17.49,888889
